ID_cliente,cliente_vigente,genero,cliente>=65_anos,matrimonio,tiene_dependientes,#_meses_contrato,servicio_telefonico,suscripcion>1_linea,internet_internetservice,suscripcion_seguridad_linea,suscripcion_de_respaldo,suscripcion_proteccion,suscripcion_soporte,suscripcion_tv_cable,suscripcion_peliculas,tipo_contrato,factura_electronica,forma_pago,total_servicios_mes,total_pagado_cliente,Cuentas_Diarias
1383-ezrwl,1,Female,0,0,0,7,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,164.85,5.495
1384-rcuxw,0,Male,0,0,0,16,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Mailed check,80.55,1248.9,41.63
1385-tqozw,0,Female,0,0,0,9,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),20.45,147.55,4.918333333333334
1386-zikuv,0,Male,0,0,0,7,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,18.95,130.55,4.3516666666666675
1389-cxmlu,1,Male,1,0,0,3,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,0,Electronic check,91.05,289.1,9.636666666666667
1389-wnuib,0,Female,0,1,1,20,1,1,Dsl,1,0,0,0,1,1,One year,0,Bank transfer (automatic),76.0,1588.75,52.958333333333336
1391-ubdar,0,Male,0,0,0,11,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,0,Electronic check,72.9,818.45,27.28166666666667
1393-imkzg,0,Female,0,0,0,1,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,95.85,95.85,3.195
1394-suiuh,0,Female,1,1,0,44,1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Electronic check,85.15,3670.5,122.35
1395-ofuwc,0,Male,0,1,1,43,0,0,Dsl,0,1,0,0,0,0,Month-to-month,0,Credit card (automatic),29.3,1224.05,40.80166666666666
1395-wswxr,0,Male,0,0,0,24,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.75,487.05,16.235
1396-qwfbj,1,Female,0,1,1,21,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),74.05,1565.7,52.190000000000005
1397-xkkwr,0,Male,0,0,0,7,0,0,Dsl,1,0,1,0,0,0,One year,0,Mailed check,35.3,264.8,8.826666666666666
1399-oupjn,0,Female,0,1,1,57,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.75,1272.05,42.401666666666664
1399-ubqiu,0,Male,0,0,0,11,1,0,Dsl,0,0,1,0,1,1,Month-to-month,1,Electronic check,69.35,712.25,23.741666666666667
1400-mmyxy,1,Male,1,1,0,3,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,105.9,334.65,11.155
1400-wivll,0,Male,0,1,0,57,1,1,Fiber optic,0,0,1,1,1,1,Two year,0,Electronic check,107.95,5969.85,198.995
1401-fthfq,0,Male,0,1,1,23,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.0,445.3,14.843333333333334
1402-pthgn,0,Female,0,1,1,18,1,0,Dsl,1,1,0,1,0,0,One year,1,Mailed check,61.5,1087.45,36.248333333333335
1403-gyafu,0,Male,0,1,1,70,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.05,1360.25,45.34166666666667
1403-lklik,0,Female,0,1,1,33,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.1,579.4,19.313333333333333
1406-puqvy,0,Male,0,0,1,1,1,0,Dsl,0,1,0,0,0,0,Month-to-month,1,Electronic check,49.9,49.9,1.6633333333333333
1407-digzv,0,Female,0,1,1,3,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.1,52.0,1.7333333333333334
1409-phxtf,0,Male,1,1,0,54,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,110.45,6077.75,202.59166666666667
1410-rscmr,0,Male,0,1,1,7,1,0,Dsl,1,0,1,1,0,1,Month-to-month,1,Credit card (automatic),71.35,515.75,17.191666666666666
1414-yadcw,0,Male,0,1,0,70,1,0,Fiber optic,1,1,0,1,0,0,Two year,0,Bank transfer (automatic),84.6,5706.2,190.20666666666665
1415-yfwlt,1,Female,1,0,0,1,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.3,89.3,2.9766666666666666
1421-hcerk,0,Male,1,1,0,30,1,1,Fiber optic,1,1,1,1,1,0,Month-to-month,1,Bank transfer (automatic),105.7,3181.8,106.06
1422-dgubx,0,Male,0,1,0,32,1,1,Fiber optic,0,0,0,1,0,0,One year,1,Electronic check,79.25,2619.15,87.305
1423-bmpbq,0,Female,0,1,1,1,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.0,19.0,0.6333333333333333
1427-versm,0,Female,0,1,0,56,1,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,98.7,5669.5,188.98333333333332
1428-gtbjj,1,Male,0,0,0,11,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,74.55,824.75,27.491666666666667
1428-iedpr,0,Male,0,0,0,52,1,1,Fiber optic,1,0,1,1,1,1,Two year,1,Electronic check,109.3,5731.4,191.04666666666665
1429-uyjsv,0,Female,0,0,0,12,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.7,260.9,8.696666666666665
1430-sfqsa,0,Male,0,0,0,29,0,0,Dsl,1,0,0,1,0,0,One year,0,Mailed check,35.6,1072.6,35.75333333333333
1431-aidjq,0,Male,0,1,1,33,1,0,Dsl,0,1,1,1,1,1,Two year,0,Credit card (automatic),82.1,2603.1,86.77
1431-cywmh,0,Female,0,1,1,22,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.05,454.05,15.135
1432-fpaxx,1,Female,0,0,0,29,0,0,Dsl,0,1,0,0,0,0,Month-to-month,1,Electronic check,30.6,856.35,28.545
1436-zmjan,0,Female,0,1,0,10,1,0,Dsl,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),67.8,653.15,21.771666666666665
1439-lcgvl,0,Female,0,1,0,26,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.2,459.6,15.32
1442-bqpvu,0,Female,0,0,0,13,0,0,Dsl,0,1,0,0,0,0,Month-to-month,0,Electronic check,29.15,357.15,11.905
1442-okrje,0,Male,0,1,1,66,1,0,Fiber optic,1,1,1,0,1,1,One year,1,Bank transfer (automatic),103.15,7031.3,234.37666666666667
1444-vvsgw,1,Male,0,1,0,70,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),115.65,7968.85,265.62833333333333
1447-giqmr,1,Male,0,1,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.15,69.15,2.305
1447-pjgga,1,Female,0,0,0,57,1,0,Fiber optic,0,0,1,0,1,1,Two year,1,Electronic check,95.25,5464.65,182.155
1448-cywkc,0,Female,0,1,1,58,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Credit card (automatic),105.2,6225.4,207.51333333333332
1448-pwkye,1,Male,0,1,1,1,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,80.0,80.0,2.6666666666666665
1449-xqemt,1,Male,0,0,0,3,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.8,58.15,1.9383333333333332
1450-galxr,1,Female,0,0,0,10,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,98.5,1058.25,35.275
1450-skcvi,1,Female,0,0,0,56,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,73.85,4092.85,136.42833333333334
1452-kiovk,0,Male,0,0,1,22,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),89.1,1949.4,64.98
1452-uzosf,0,Male,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,0,Two year,1,Credit card (automatic),106.1,7548.6,251.62
1452-voqch,0,Male,0,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,75.1,75.1,2.503333333333333
1452-xrsjv,0,Female,0,1,1,39,1,0,Dsl,1,0,0,0,0,0,Month-to-month,0,Credit card (automatic),51.05,2066.0,68.86666666666666
1453-rzfon,0,Female,0,0,1,1,1,0,Dsl,1,0,0,0,0,0,Month-to-month,0,Mailed check,49.9,49.9,1.6633333333333333
1455-esiqh,1,Male,0,0,0,1,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.1,89.1,2.9699999999999998
1455-hfbxa,0,Male,0,1,0,52,1,1,Fiber optic,1,0,1,1,0,0,Two year,1,Credit card (automatic),91.6,4627.8,154.26000000000002
1455-ugqvh,1,Male,0,1,0,10,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,98.5,1037.75,34.59166666666667
1456-twcgb,0,Male,0,0,0,4,1,0,Dsl,0,1,0,0,0,0,Month-to-month,0,Mailed check,49.25,208.45,6.948333333333333
1459-qnfqt,0,Male,0,1,1,70,0,0,Dsl,1,0,1,1,1,1,Two year,0,Bank transfer (automatic),59.5,4144.8,138.16
1460-uzprj,0,Male,0,1,0,60,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.95,1258.15,41.93833333333334
1465-lntlj,0,Male,1,1,0,8,1,0,Dsl,0,0,1,1,0,1,Month-to-month,1,Credit card (automatic),64.4,581.7,19.39
1465-vindh,1,Female,0,1,1,10,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),102.1,1068.85,35.62833333333333
1465-wczvt,0,Female,0,1,1,3,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.65,60.65,2.0216666666666665
1468-defnc,0,Male,1,1,1,64,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.4,1548.65,51.62166666666667
1469-lbjqj,0,Female,0,1,0,66,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,105.2,6936.85,231.22833333333335
1470-psxnm,0,Male,0,1,1,49,1,1,Fiber optic,0,1,1,0,1,0,One year,1,Electronic check,93.65,4520.15,150.67166666666665
1471-giqkq,0,Female,0,0,0,1,1,0,Dsl,0,1,0,0,0,0,Month-to-month,0,Electronic check,49.95,49.95,1.665
1472-tncwl,0,Male,0,0,1,36,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,94.7,3512.5,117.08333333333333
1474-juwsm,0,Female,0,1,0,58,1,1,Dsl,1,0,0,1,0,1,One year,1,Electronic check,68.4,3972.25,132.40833333333333
1475-vwvdo,0,Male,0,0,0,7,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,74.9,490.55,16.351666666666667
1478-vpoad,0,Female,0,0,0,1,1,0,Dsl,0,0,0,0,0,0,Month-to-month,0,Electronic check,43.8,43.8,1.46
1480-bkxga,0,Male,1,1,0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),116.05,8404.9,280.1633333333333
1480-ivevr,0,Male,1,1,0,35,1,1,Fiber optic,0,0,1,0,0,0,One year,1,Bank transfer (automatic),81.6,2815.25,93.84166666666667
1481-zuwza,1,Male,0,0,0,28,1,1,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Credit card (automatic),94.5,2659.4,88.64666666666668
1482-oxzsy,0,Male,0,0,0,30,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),100.4,2936.25,97.875
1485-ydhmm,0,Male,0,1,1,52,1,1,Fiber optic,0,1,0,1,0,1,Month-to-month,1,Bank transfer (automatic),93.25,4631.7,154.39
1488-pbljn,0,Female,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),116.85,8477.7,282.59000000000003
1488-sysfc,0,Male,0,1,1,31,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.65,702.05,23.401666666666664
1492-kgeth,0,Male,0,1,1,70,1,1,Dsl,1,1,1,1,0,1,One year,0,Bank transfer (automatic),78.35,5445.95,181.53166666666667
1492-qgclu,0,Male,0,1,1,53,1,1,Dsl,1,0,1,1,1,1,Month-to-month,0,Electronic check,85.7,4616.1,153.87
1493-amtie,1,Male,0,0,0,1,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),20.2,20.2,0.6733333333333333
1494-ejzdw,0,Female,0,1,1,10,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.15,220.8,7.36
1496-ggsuk,1,Female,1,0,0,1,0,0,Dsl,0,0,0,0,0,0,Month-to-month,1,Mailed check,25.7,25.7,0.8566666666666667
1498-dqnrx,0,Female,0,1,0,29,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,573.05,19.101666666666667
1498-nhtlt,0,Male,0,1,1,59,1,0,Dsl,1,1,1,1,1,1,Two year,1,Electronic check,86.75,5186.0,172.86666666666667
1501-sghbw,1,Male,0,0,0,2,1,0,Dsl,0,0,0,0,0,0,Month-to-month,0,Mailed check,45.85,81.0,2.7
1502-xfcvr,1,Female,0,0,0,58,1,0,Fiber optic,1,1,1,0,1,1,One year,1,Electronic check,106.45,6145.85,204.86166666666668
1506-yjtyt,0,Male,0,1,1,45,1,1,Dsl,1,1,0,1,1,0,Two year,0,Credit card (automatic),73.85,3371.0,112.36666666666666
1508-dfxcu,0,Male,0,0,0,12,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,81.45,912.0,30.4
1513-xnpph,1,Female,0,0,0,12,1,0,Fiber optic,0,0,1,1,0,1,Month-to-month,1,Electronic check,89.4,1095.65,36.52166666666667
1518-omdik,0,Male,0,1,0,33,1,0,Dsl,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),44.55,1462.6,48.75333333333333
1518-vowav,1,Female,0,0,0,9,1,0,Dsl,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.65,703.55,23.451666666666664
1522-vvdmg,1,Male,0,1,1,7,1,0,Fiber optic,0,1,0,1,1,0,Month-to-month,1,Electronic check,89.75,608.8,20.293333333333333
1525-lnloj,0,Male,0,1,1,66,1,1,Dsl,0,0,1,0,1,0,Two year,1,Bank transfer (automatic),63.3,4189.7,139.65666666666667
1527-sxdpn,1,Male,0,1,1,52,1,1,Fiber optic,0,0,1,1,0,1,Two year,1,Bank transfer (automatic),96.25,4990.25,166.34166666666667
1530-ztdoz,0,Female,0,1,0,49,0,0,Dsl,1,0,0,0,1,0,Month-to-month,0,Bank transfer (automatic),40.65,2070.75,69.025
1534-oulxe,0,Female,0,1,1,61,1,0,Dsl,1,0,0,0,0,0,One year,1,Bank transfer (automatic),49.7,2961.4,98.71333333333334
1535-vtjoq,0,Female,0,0,0,24,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.15,553.0,18.433333333333334
1536-hbswp,0,Female,0,0,0,1,1,0,Dsl,0,0,0,1,0,0,Month-to-month,1,Electronic check,49.9,49.9,1.6633333333333333
1536-yhdoe,0,Male,0,1,1,17,1,1,Dsl,1,0,0,1,0,0,One year,1,Mailed check,62.1,1096.65,36.555
1539-lnkhm,0,Female,0,0,0,12,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.4,266.6,8.886666666666667
1541-etjzo,1,Male,0,0,0,1,1,1,Dsl,0,0,1,1,0,0,Month-to-month,0,Mailed check,62.05,62.05,2.0683333333333334
1543-lllft,0,Male,1,1,0,61,1,1,Fiber optic,0,1,1,1,1,0,One year,1,Mailed check,98.3,6066.55,202.21833333333333
1544-jjmyl,0,Male,0,0,0,27,1,0,Dsl,1,0,1,1,1,0,One year,0,Credit card (automatic),69.35,1927.3,64.24333333333333
1545-actas,0,Female,0,1,1,48,1,0,Fiber optic,1,0,1,0,1,1,One year,1,Bank transfer (automatic),99.7,4977.2,165.90666666666667
1545-jfuml,0,Male,0,1,0,71,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Electronic check,99.0,6994.6,233.15333333333334
1548-aragg,0,Female,0,1,1,4,1,1,Dsl,0,1,0,1,0,0,Month-to-month,1,Mailed check,58.5,224.85,7.495
1548-fehvl,0,Male,0,1,0,61,1,1,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Electronic check,106.2,6375.2,212.50666666666666
1550-eenbn,0,Female,0,0,0,31,1,1,Fiber optic,1,1,0,0,1,1,Month-to-month,0,Electronic check,104.35,3205.6,106.85333333333332
1550-loaha,1,Female,0,1,0,32,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Bank transfer (automatic),84.15,2585.95,86.19833333333332
1552-aagrx,0,Female,0,0,0,30,1,1,Fiber optic,1,0,0,1,1,1,Month-to-month,0,Bank transfer (automatic),106.4,3211.9,107.06333333333333
1552-czcll,0,Female,0,1,1,55,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.0,1087.25,36.24166666666667
1552-tkmxs,0,Female,0,1,0,42,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.35,869.9,28.996666666666666
1555-djeqw,1,Female,0,1,1,70,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),114.2,7723.9,257.4633333333333
1555-hapsu,0,Female,0,1,1,71,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),23.9,1663.5,55.45
1557-emyvt,0,Female,0,0,0,43,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),115.05,4895.1,163.17000000000002
1559-dtodc,0,Male,0,0,0,19,0,0,Dsl,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),25.15,468.35,15.611666666666668
1561-bwhin,0,Male,0,1,1,19,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.8,344.5,11.483333333333333
1563-iwqex,0,Female,0,0,0,12,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,220.35,7.345
1564-hjuvy,0,Male,0,0,0,4,1,0,Dsl,0,1,0,1,1,0,Month-to-month,1,Bank transfer (automatic),63.75,226.2,7.54
1564-ntyxf,1,Female,1,0,0,13,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,82.0,1127.2,37.57333333333334
1565-rhdjd,1,Female,0,0,1,4,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),84.05,333.55,11.118333333333334
1567-dscic,1,Male,0,0,0,8,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,94.0,773.65,25.788333333333334
1568-bekzm,0,Male,1,1,0,70,1,1,Dsl,1,1,1,1,1,1,Two year,0,Credit card (automatic),90.05,6333.4,211.11333333333332
1568-ljszu,0,Male,0,1,1,68,1,1,Dsl,1,1,1,1,1,1,Two year,1,Credit card (automatic),92.2,6392.85,213.095
1569-ttnyj,1,Male,0,1,0,5,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,78.75,412.1,13.736666666666668
1571-savhk,1,Male,0,0,0,12,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Mailed check,99.95,1132.75,37.75833333333333
1573-lgxba,0,Male,0,1,1,57,1,0,Fiber optic,0,1,1,0,1,1,One year,1,Credit card (automatic),97.55,5598.0,186.6
1574-dycwe,0,Female,0,1,1,51,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.95,1028.75,34.291666666666664
1575-krzze,0,Female,0,0,0,4,1,0,Dsl,1,1,0,0,0,0,Month-to-month,0,Electronic check,55.2,220.65,7.355
1576-pfziw,0,Male,1,1,0,70,1,0,Fiber optic,1,1,1,0,1,1,Two year,0,Credit card (automatic),105.35,7511.9,250.39666666666665
1577-hktfg,1,Female,0,1,0,30,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.65,655.85,21.861666666666668
1579-klydt,1,Male,0,0,0,7,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Electronic check,90.45,593.45,19.78166666666667
1580-bmcmr,0,Male,1,0,0,19,1,0,Fiber optic,1,0,0,0,0,1,Month-to-month,1,Electronic check,87.3,1637.3,54.57666666666667
1582-rafml,1,Male,0,0,0,1,1,1,Dsl,0,1,0,1,0,0,Month-to-month,0,Mailed check,60.1,60.1,2.0033333333333334
1583-ihqze,1,Male,0,0,0,12,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Mailed check,112.95,1384.75,46.15833333333333
1585-mqssu,1,Male,0,0,0,17,1,0,Dsl,0,0,0,1,0,0,Month-to-month,0,Mailed check,51.5,900.5,30.016666666666666
1587-fklzb,1,Male,1,1,1,66,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),99.5,6822.15,227.405
1589-agtlk,1,Male,0,0,0,3,1,0,Dsl,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.35,141.5,4.716666666666667
1591-mqjtp,0,Male,1,1,0,51,1,1,Fiber optic,1,0,1,0,0,1,One year,1,Bank transfer (automatic),93.65,4839.15,161.30499999999998
1591-nfnlq,1,Male,0,0,0,51,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,0,Credit card (automatic),80.0,4242.35,141.4116666666667
1591-xwlgb,0,Female,0,1,0,71,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.85,1379.6,45.986666666666665
1596-bbvtg,1,Male,0,0,0,35,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),75.35,2636.05,87.86833333333334
1596-oqsps,0,Female,0,0,0,11,1,0,Dsl,0,1,0,0,0,0,Month-to-month,0,Electronic check,51.1,531.15,17.705
1597-fzreh,1,Female,0,0,0,2,1,0,Dsl,0,0,1,1,1,1,Month-to-month,0,Electronic check,76.4,160.8,5.36
1597-lhync,1,Female,1,0,0,26,1,1,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Electronic check,95.0,2497.2,83.24
1599-eahxy,0,Male,0,1,1,60,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),23.95,1506.4,50.21333333333334
1599-mmyrq,0,Male,0,1,1,62,1,0,Fiber optic,1,1,0,0,0,0,One year,1,Credit card (automatic),81.45,4983.05,166.10166666666666
1600-dilpe,0,Female,0,0,0,12,1,0,Dsl,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),45.0,524.35,17.478333333333335
1602-ijqqe,1,Female,0,0,0,4,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,75.35,338.1,11.270000000000001
1608-gmewb,0,Male,1,0,0,45,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),93.9,4200.25,140.00833333333333
1612-eohdh,1,Female,0,0,0,1,1,0,Dsl,0,0,0,0,0,0,Month-to-month,0,Electronic check,45.15,45.15,1.505
1614-jbebi,0,Female,0,0,0,8,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.7,137.6,4.586666666666667
1618-cfhme,1,Female,0,0,0,2,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,75.9,143.35,4.778333333333333
1619-ywubb,0,Female,0,1,0,68,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.95,1614.9,53.830000000000005
1621-yncjh,0,Female,0,1,0,36,1,1,Fiber optic,1,1,1,1,0,1,Two year,1,Credit card (automatic),106.05,3834.4,127.81333333333333
1622-hshsf,0,Female,0,0,0,1,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.55,19.55,0.6516666666666667
1623-nldot,1,Female,0,1,0,42,0,0,Dsl,0,1,0,1,0,0,One year,0,Mailed check,33.55,1445.3,48.17666666666666
1624-naloj,1,Male,1,0,0,5,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Electronic check,89.8,502.6,16.753333333333334
1624-woiwj,1,Female,0,0,0,10,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Mailed check,84.7,832.05,27.735
1625-jaiiy,1,Female,0,1,1,68,1,1,Fiber optic,0,0,0,0,1,0,One year,1,Electronic check,83.0,5685.8,189.52666666666667
1626-ercmm,1,Male,1,1,0,20,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,94.55,1899.65,63.32166666666667
1627-afwvj,0,Female,0,0,0,29,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.4,554.25,18.475
1628-bizyp,0,Male,0,0,0,1,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Electronic check,85.0,85.0,2.8333333333333335
1629-dqqvb,0,Female,0,0,0,14,1,0,Dsl,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),50.1,709.5,23.65
1635-fjfcc,0,Female,0,0,0,5,1,0,Dsl,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),44.05,202.15,6.738333333333333
1635-hdgft,0,Female,0,0,1,19,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.5,398.55,13.285
1635-nzatj,0,Male,1,1,0,71,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.45,1789.65,59.655
1636-ntnco,0,Male,1,0,0,4,0,0,Dsl,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),50.95,207.35,6.911666666666666
1640-plfmp,0,Female,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.25,70.25,2.341666666666667
1641-bybtk,0,Male,0,0,1,6,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.2,98.35,3.2783333333333333
1641-rqday,0,Female,1,1,1,32,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,100.4,3217.65,107.25500000000001
1642-hmarx,0,Female,0,1,0,68,1,1,Dsl,1,1,1,1,1,1,Two year,1,Electronic check,91.7,6424.7,214.15666666666667
1644-irksf,1,Female,0,1,1,33,1,0,Fiber optic,0,0,1,0,1,1,One year,1,Electronic check,93.8,3124.5,104.15
1656-drsmg,0,Female,0,0,0,63,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Credit card (automatic),109.85,7002.95,233.43166666666667
1657-dymbm,0,Male,0,1,0,53,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.9,1110.05,37.001666666666665
1658-bygoy,1,Male,1,0,0,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752.55,58.41833333333333
